Annual Rainfall,Cloud Visibility,Seasonal Rainfall,Temperature,Humidity,Pressure,River Level,Wind Speed,Monsoon Intensity,Average Rainfall,Flood Label
3776.6,30.8,1406.7,28.7,95.1,1009.4,12.0,10.0,7.8,718.7,1
4110.0,58.8,1632.0,38.6,66.9,986.1,14.62,88.1,8.6,275.8,1
5000.0,64.0,1799.8,21.0,48.1,1016.5,15.0,30.4,9.8,532.9,1
1708.4,97.8,544.0,30.4,33.7,1015.7,4.3,65.4,1.7,289.2,1
1790.4,30.6,744.5,32.8,80.8,1006.2,5.22,48.8,3.0,121.2,0
4161.1,83.7,1480.7,16.4,38.5,1006.9,13.34,36.6,7.8,534.9,1
3306.4,75.5,1199.3,33.2,51.2,980.2,10.12,64.5,5.9,482.4,1
2985.0,48.6,901.4,20.1,67.3,1019.4,8.85,94.8,3.9,482.6,1
1890.6,44.2,562.0,17.0,69.5,1015.1,5.84,4.1,2.9,287.9,0
2807.0,62.5,805.8,43.5,72.0,1015.8,7.36,91.9,3.5,952.5,0
3446.4,66.8,1069.3,44.0,41.6,1006.4,8.23,60.9,4.9,103.2,1
1923.6,58.7,703.7,39.3,56.6,993.8,6.73,80.7,2.6,902.4,0
5000.0,60.3,1894.8,24.1,73.2,1015.7,15.0,38.4,9.7,763.2,1
2411.4,32.0,688.3,17.9,97.9,991.7,4.77,47.2,2.0,254.9,0
4101.2,27.3,1650.0,35.5,80.9,1002.5,15.0,86.9,9.9,525.0,1
5000.0,51.8,1561.6,28.2,94.6,984.0,12.79,41.5,8.6,990.0,1
2717.0,38.0,974.6,18.7,83.4,1016.9,7.1,53.5,4.8,679.3,1
3913.3,48.8,1448.1,29.9,71.4,985.6,13.79,2.0,7.7,214.6,1
3099.3,77.8,1356.1,16.0,43.4,989.0,11.51,15.9,7.0,511.9,1
2337.0,54.9,829.7,42.3,76.7,1002.3,5.75,64.2,2.9,521.4,0
2846.2,70.7,934.3,22.8,73.6,1010.6,7.46,71.7,4.1,822.0,1
3853.9,35.7,1327.3,34.9,72.2,1004.8,10.63,58.3,,924.5,1
3372.0,66.8,1347.2,24.4,64.3,989.3,12.7,14.3,6.7,174.0,1
2751.5,63.8,1058.3,30.6,67.0,980.0,8.37,44.5,5.9,382.6,0
2294.6,65.9,1018.4,31.4,53.4,1010.3,,35.5,5.3,368.6,1
3913.1,64.8,1138.8,20.5,66.4,1019.4,10.61,49.6,5.0,996.4,1
2879.1,84.3,880.5,44.1,43.8,1012.4,8.12,87.0,5.5,603.3,1
3183.5,27.1,834.5,38.3,86.4,998.4,8.15,77.6,4.9,891.8,1
3399.8,93.1,1182.4,43.2,43.0,1016.2,10.05,8.4,5.9,483.4,1
5000.0,65.7,1791.4,41.8,35.9,996.4,15.0,89.0,9.0,750.5,1
3836.0,50.2,1500.4,32.9,60.5,1001.0,11.65,47.2,6.7,357.9,1
4510.3,46.5,1393.0,42.7,76.1,999.1,12.58,74.4,7.5,920.6,1
3608.4,80.7,1415.7,17.7,60.6,997.9,13.25,14.0,6.4,509.6,1
3765.6,67.4,1328.9,20.9,49.4,1011.0,11.39,67.1,6.8,823.4,1
3245.2,54.4,1001.1,16.4,69.1,1001.1,8.89,23.6,6.2,330.2,1
2601.1,80.9,485.1,24.8,54.3,992.7,5.02,43.8,1.2,724.2,0
4550.0,30.8,1706.6,26.7,95.3,990.3,15.0,1.7,10.0,464.6,1
1627.8,22.5,633.1,23.1,94.6,981.5,4.68,15.2,1.3,128.3,0
2640.0,53.7,979.6,39.9,65.2,1003.3,9.87,9.2,4.6,471.7,1
2293.9,81.3,400.2,25.7,53.0,989.2,4.22,24.0,1.9,595.0,0
1830.2,45.4,355.9,23.4,81.6,985.9,4.29,10.0,1.9,236.6,0
3782.7,100.0,1518.1,31.3,32.6,1006.2,14.56,69.2,8.1,265.5,1
3044.9,66.8,662.0,19.2,63.2,1007.2,7.52,2.9,4.8,518.4,0
3953.8,60.7,1453.8,39.1,53.5,1010.1,13.01,61.8,8.2,408.5,1
2370.3,35.0,852.9,17.2,94.4,1000.1,6.96,14.1,3.5,496.7,0
2207.4,76.8,637.7,44.6,30.8,1015.8,8.32,94.5,,514.7,0
2604.2,48.4,938.3,38.2,68.7,1017.5,7.3,93.3,3.3,226.1,1
3709.9,89.3,1460.4,21.0,81.8,1012.3,12.64,22.6,6.5,263.1,1
4533.8,69.0,1397.7,15.2,64.0,1005.4,13.13,61.4,8.3,863.3,1
2491.3,89.8,1015.8,39.5,36.0,992.1,9.57,2.8,5.1,246.4,1
3022.2,25.3,1111.2,36.2,98.1,1019.3,11.13,93.2,4.4,699.3,1
4685.6,72.7,1764.1,36.9,66.3,991.0,15.0,52.3,9.8,476.7,1
2116.2,62.6,398.4,38.1,73.0,988.1,4.13,4.3,2.1,971.4,0
3557.5,91.6,1085.5,17.2,46.6,997.7,10.91,34.2,5.4,159.5,1
3377.4,77.3,873.5,25.8,63.8,982.3,8.0,7.7,4.7,847.3,1
2382.1,47.2,748.7,18.5,60.0,1019.1,6.95,39.3,1.9,542.3,0
2774.6,70.7,903.0,40.9,35.2,1003.5,7.94,67.0,3.4,104.8,0
1939.1,70.0,441.3,33.7,37.4,1002.3,4.89,47.0,1.3,337.3,0
4467.5,29.7,1655.2,24.9,88.6,1006.2,15.0,38.4,8.9,466.9,1
2994.9,75.8,1074.4,16.9,46.8,999.9,9.71,11.9,6.5,382.8,1
3926.8,69.4,1437.2,24.3,43.6,981.3,11.48,24.5,8.3,426.2,1
3568.3,78.5,1387.1,24.8,65.3,1004.5,10.26,10.0,5.7,925.0,1
3854.7,62.0,1267.4,36.9,83.8,1008.6,9.69,80.7,6.4,424.8,1
3017.5,82.5,1535.7,34.1,34.3,996.7,13.06,13.5,7.3,476.9,1
4573.6,73.3,1710.6,41.6,70.4,1010.3,13.05,59.5,9.2,785.0,1
2377.8,94.2,771.0,29.2,38.3,989.1,6.23,34.3,1.8,814.5,0
1719.3,79.5,597.0,18.6,32.6,988.9,6.28,22.6,4.0,175.7,0
3969.3,63.0,1379.0,36.4,33.7,986.5,12.91,63.9,7.4,733.7,1
4656.3,37.1,1990.5,37.8,88.4,994.9,15.0,45.7,9.6,534.3,1
3723.2,72.9,1917.5,31.8,38.3,1013.9,15.0,40.0,9.8,220.5,1
3920.8,85.5,1510.2,38.1,33.2,1013.1,13.09,59.3,6.7,338.2,1
2687.2,62.4,710.3,29.8,60.7,995.3,6.1,49.1,2.7,140.5,0
1879.6,39.4,530.4,30.7,89.1,1003.6,4.93,30.3,2.1,424.2,0
4263.8,76.5,1573.1,27.8,48.4,1008.8,13.56,55.9,9.5,329.9,1
3137.7,50.3,871.3,15.8,59.5,989.6,8.37,66.9,4.9,443.9,1
2220.4,87.9,834.1,18.2,32.8,986.7,5.84,2.7,2.8,622.3,0
4697.4,56.5,1787.7,15.9,61.4,1018.9,15.0,46.6,9.4,759.1,1
1924.1,55.7,581.1,34.1,70.4,1004.7,4.5,5.8,1.9,644.8,0
3991.0,63.6,1511.1,,70.0,1019.3,13.22,18.6,7.6,710.5,1
4520.6,55.1,1315.5,30.3,53.3,993.5,11.8,56.1,6.6,,1
2879.1,65.5,712.8,42.2,52.1,1008.1,6.92,86.6,1.8,886.4,0
3711.7,78.8,1050.2,22.5,37.5,988.9,7.58,88.3,4.0,874.6,0
1709.7,60.3,492.5,27.3,55.7,990.4,4.63,7.0,2.3,237.9,0
3077.0,89.4,1307.1,37.7,37.0,1000.5,11.86,41.9,6.4,326.0,1
2943.1,35.9,843.8,21.9,83.7,992.8,9.58,58.3,5.3,552.1,1
2250.1,26.3,475.7,17.3,97.6,986.7,4.24,14.7,1.0,422.9,0
4529.4,24.6,1857.9,23.7,97.9,990.5,15.0,76.5,9.8,218.5,1
2455.5,48.5,724.9,19.8,90.6,981.4,8.63,74.4,4.1,359.0,1
2579.7,47.4,736.1,42.9,72.1,1008.2,7.39,90.3,3.3,977.9,0
2627.7,51.4,751.7,39.2,79.1,999.7,7.81,0.8,3.0,412.2,0
2779.8,89.8,699.5,34.0,50.0,983.8,5.2,21.7,2.4,477.0,0
4241.2,49.9,1757.0,41.1,74.2,986.9,15.0,82.7,,105.8,1
2053.5,71.6,672.6,39.1,61.9,984.1,5.63,67.1,3.7,747.5,0
3441.6,75.7,989.3,20.6,63.7,1004.5,7.75,89.4,4.6,472.2,1
3166.4,53.8,1378.5,41.8,83.0,983.8,13.27,5.7,8.8,192.8,1
4151.3,70.0,1281.7,31.2,49.7,1010.2,11.92,59.7,6.8,971.7,1
3348.6,74.6,881.5,39.2,52.3,980.8,7.63,56.9,4.3,799.7,1
4862.6,21.3,1642.6,41.9,94.7,990.0,15.0,3.6,9.1,753.5,1
3678.5,75.1,1378.2,24.5,33.9,1015.6,12.07,51.4,7.7,962.1,1
2064.9,52.8,531.5,18.3,64.0,1008.7,5.19,61.0,3.1,466.7,0
3790.2,57.3,1264.1,21.8,93.9,982.9,11.27,19.1,6.8,746.7,1
4887.0,43.7,1834.9,27.8,72.7,1012.8,15.0,27.3,9.3,285.6,1
3983.9,47.1,1309.4,39.5,68.2,999.7,12.07,64.0,5.5,727.4,1
4659.7,61.6,1806.3,40.8,47.5,1013.9,14.05,46.8,7.6,112.7,1
4875.7,72.4,2000.0,15.2,54.0,,15.0,85.8,9.7,213.7,1
3365.5,39.7,1202.5,30.3,89.6,1007.3,10.15,34.2,7.2,482.7,1
1723.1,65.6,527.0,27.5,69.1,1019.7,6.44,26.7,1.9,110.9,0
3026.3,63.9,776.7,21.7,66.0,989.3,6.68,98.5,3.2,515.8,0
3162.5,66.6,1240.5,18.6,37.0,1005.0,10.37,91.1,6.4,570.5,1
3096.1,77.0,832.4,25.1,31.1,998.4,7.16,2.9,3.5,659.4,0
4502.1,45.7,2000.0,43.3,97.5,981.6,15.0,77.1,9.6,190.3,1
2180.0,62.9,834.9,24.7,56.4,980.6,8.4,11.0,4.6,262.9,1
3379.4,64.1,960.2,30.6,72.2,984.8,8.35,2.7,5.1,652.0,1
4214.9,80.0,1643.7,36.1,35.6,1006.0,13.47,27.4,7.3,692.4,1
2867.1,38.1,1065.3,25.9,77.8,1002.7,8.51,26.9,5.7,123.3,1
2989.5,30.7,1024.9,44.2,95.3,1002.1,9.04,81.9,4.4,586.3,1
,44.1,708.7,43.9,70.3,981.3,6.95,71.1,1.7,806.5,0
3461.9,73.3,1328.2,22.6,38.8,998.8,11.05,98.2,6.4,162.2,1
4309.7,55.4,1650.0,29.9,70.7,1017.0,14.93,71.2,8.8,471.9,1
3354.0,48.2,1516.6,24.0,83.6,995.9,12.5,41.8,7.2,393.9,1
2874.8,47.3,831.1,23.5,58.4,1005.0,6.88,69.9,4.4,922.3,0
1321.1,36.6,548.0,16.1,91.6,1011.2,5.69,99.9,2.1,267.2,0
4370.8,43.8,1632.4,33.3,75.4,1011.4,15.0,71.0,8.3,386.5,1
4646.9,29.2,1410.9,30.1,92.9,1000.8,13.69,76.2,9.5,908.6,1
3525.7,52.4,1186.7,16.5,73.6,1014.3,9.59,93.8,4.5,397.6,1
4333.3,73.1,1479.2,23.4,39.2,995.7,12.62,11.4,7.6,578.2,1
2529.4,82.5,1027.5,42.2,51.7,1015.5,10.57,70.5,4.7,129.7,1
3417.5,86.6,883.5,22.2,44.1,989.6,8.75,85.1,5.5,986.4,1
4112.2,46.9,1386.3,19.3,93.6,991.2,12.12,95.4,8.5,842.5,1
2232.2,38.5,502.8,29.7,83.2,982.1,4.67,21.1,1.8,671.0,0
3516.0,38.5,1287.1,44.6,,1011.8,11.2,50.4,5.8,154.7,0
1876.5,70.0,428.2,22.3,51.1,996.7,5.12,68.1,2.9,167.4,1
3027.5,74.2,1027.0,35.2,42.9,989.2,9.99,24.7,4.1,590.5,1
2966.2,37.6,1266.0,37.8,83.0,989.3,12.34,60.0,6.8,356.6,1
2010.8,47.7,453.2,22.1,63.2,1016.1,4.38,25.8,1.2,660.5,0
3652.0,72.9,1289.7,36.8,45.8,1013.4,11.24,33.3,6.3,638.4,1
3186.3,47.4,873.0,26.0,73.2,1002.1,7.98,44.2,3.6,854.8,1
3597.0,90.6,1246.9,34.0,32.8,1004.6,10.81,52.9,7.0,353.2,1
2015.4,74.4,734.9,34.0,52.8,999.0,7.1,44.9,2.3,620.1,0
3289.2,70.8,1095.4,31.1,62.8,995.7,10.46,49.3,7.6,799.6,1
3260.6,65.1,1254.1,17.7,40.4,1016.6,11.64,29.9,6.8,541.7,1
5000.0,34.9,1784.2,40.1,98.9,985.0,15.0,15.9,9.7,847.6,1
3912.5,67.0,1628.4,24.6,44.6,996.7,14.89,4.7,9.2,218.1,1
2223.5,66.5,558.4,20.6,39.1,,5.95,19.6,3.5,760.5,0
2811.3,70.3,600.6,16.2,44.2,999.9,4.69,58.2,1.2,948.7,0
3015.8,53.6,1147.5,32.7,83.8,998.3,10.58,78.6,6.9,398.7,1
3432.7,58.4,1253.8,35.3,59.8,1000.8,10.18,16.9,6.4,429.7,1
2239.4,70.0,510.0,15.5,69.6,985.6,4.99,10.9,1.2,175.2,0
2950.4,90.3,618.6,30.4,31.5,1000.5,3.85,74.9,2.1,677.3,0
3804.4,80.1,1414.7,21.8,32.4,989.7,12.77,30.5,6.3,597.2,1
3927.6,72.6,1673.0,34.4,61.2,987.4,15.0,95.1,9.2,136.3,0
4567.1,44.7,1737.9,20.2,87.2,982.6,15.0,71.4,9.2,777.0,1
2060.8,27.1,646.1,35.7,92.0,1010.5,5.4,,2.4,846.4,0
3849.5,99.7,1061.1,26.6,36.1,997.1,9.14,29.0,4.5,916.4,1
3252.3,58.4,717.3,43.1,67.7,1005.1,4.44,52.4,1.4,591.2,0
3082.6,35.0,1104.1,19.1,93.9,1009.1,10.37,7.9,5.2,507.3,1
4311.4,55.7,1583.9,25.2,57.2,1007.2,13.48,11.8,7.8,888.5,1
4346.5,51.3,1734.8,18.4,88.1,998.8,15.0,17.6,8.1,458.8,1
3869.8,83.7,1327.2,42.7,39.4,,11.47,77.5,5.5,689.9,1
1856.4,39.9,521.6,41.3,95.5,995.0,5.06,51.4,1.9,653.8,0
3038.0,38.8,1120.3,,82.6,1005.6,9.82,1.1,4.4,434.9,1
4474.0,41.6,1745.7,34.8,95.9,999.8,14.45,67.4,9.4,178.2,1
2512.6,57.2,927.6,39.5,77.4,1014.0,7.43,42.4,3.1,119.3,1
3300.5,59.0,967.0,31.7,55.4,1015.0,8.46,51.1,3.9,485.4,1
4141.6,,1499.6,30.9,95.7,986.8,12.84,21.4,7.7,533.1,1
4024.6,76.4,1505.4,22.3,49.3,985.4,12.61,55.2,7.6,840.4,1
4239.7,51.7,1719.8,17.8,53.3,1005.2,14.78,97.9,9.2,473.0,1
2963.8,48.3,1018.1,41.9,79.1,992.0,8.94,7.3,4.5,353.0,1
2920.9,38.7,1120.9,42.0,83.6,980.7,,28.4,5.6,515.9,1
2524.9,46.1,1043.2,,95.1,1015.5,9.08,24.3,5.2,314.2,1
4258.4,70.6,1966.9,25.2,44.3,989.1,15.0,24.9,9.3,182.2,1
3976.9,52.4,1560.2,25.5,85.9,1017.2,13.41,37.9,7.9,201.7,1
3750.3,39.5,1486.5,36.8,81.7,1008.7,14.51,81.8,8.5,387.2,1
2142.3,92.4,588.1,41.9,34.5,1010.5,6.67,91.3,2.2,111.4,0
3884.1,84.9,1677.4,41.6,57.1,988.1,15.0,20.2,8.1,298.2,1
2419.7,59.5,924.1,38.4,49.8,989.4,8.55,54.3,4.9,808.8,1
1290.4,71.9,259.2,34.3,51.3,1000.9,3.55,63.7,1.2,311.2,1
,58.4,319.9,17.5,98.8,986.9,2.7,52.2,1.5,199.7,0
3676.2,50.7,1105.8,19.8,75.0,992.2,10.19,43.4,7.1,954.2,1
2263.4,46.4,757.4,42.0,80.2,992.9,6.39,19.2,4.3,660.2,0
3056.4,39.2,1444.8,33.2,98.4,986.4,13.57,48.8,8.8,154.0,1
4313.5,65.3,1649.1,15.3,56.4,988.2,13.97,40.1,7.6,156.0,1
1853.4,24.0,472.3,18.0,86.1,1011.5,4.49,79.6,1.2,650.9,0
4194.3,73.0,1322.8,34.9,60.4,986.7,11.13,76.4,7.2,586.1,1
1844.1,17.3,493.2,15.2,90.9,981.1,5.73,13.4,2.7,161.5,0
2569.0,71.7,999.0,19.8,42.6,1005.2,6.99,8.9,4.8,301.9,0
3851.9,45.0,1032.8,31.5,96.3,1019.0,9.64,90.8,6.6,936.1,0
3983.2,70.2,1572.8,35.8,45.3,993.2,13.89,53.6,8.9,614.8,1
3312.9,60.8,1375.4,34.6,52.8,984.7,9.68,85.8,5.1,496.3,1
3847.2,52.4,1641.0,21.7,82.9,1002.8,14.46,5.8,8.3,325.1,1
3902.0,55.4,1475.5,36.4,57.6,1016.3,12.93,52.7,8.0,220.3,1
3532.4,39.7,1114.3,22.1,72.6,1011.4,10.03,53.9,4.7,462.4,1
3407.5,63.8,1048.1,24.8,61.1,1004.9,11.09,86.1,5.5,930.1,1
2634.5,42.6,1275.6,37.4,82.0,992.6,11.83,9.8,7.3,143.8,1
2520.2,60.8,747.7,34.5,46.0,1001.7,6.78,24.0,1.3,991.9,0
3429.2,89.1,1481.3,40.5,34.1,983.6,14.6,40.7,9.0,287.0,1
3452.0,73.8,1436.1,34.7,51.0,1007.2,13.18,86.6,7.9,467.9,1
2385.4,55.8,832.6,32.0,63.2,1009.0,6.6,93.9,3.2,140.5,0
4976.1,73.7,1634.2,17.8,41.8,1018.6,13.43,99.3,9.8,626.3,1
2853.5,70.8,789.8,26.0,54.8,990.4,7.08,95.9,2.6,535.2,0
4137.6,75.5,1638.0,23.0,58.0,980.7,14.2,0.6,9.2,700.0,1
2855.3,80.0,987.6,22.3,34.0,1001.8,9.52,4.8,3.9,588.4,1
3944.9,59.9,1568.1,44.2,70.8,1008.3,13.18,14.8,7.9,458.4,1
3440.1,42.1,1029.7,26.8,91.9,1011.6,9.21,34.9,5.1,764.0,1
4495.6,86.3,1700.8,41.8,40.6,987.7,13.33,83.0,7.6,122.5,1
2067.7,52.9,560.5,33.9,71.8,990.5,5.05,89.3,2.4,586.9,0
3196.5,39.7,1016.2,38.8,76.5,1000.5,7.71,18.7,3.4,202.5,1
3145.7,57.9,761.0,30.1,59.4,993.2,5.64,62.0,1.9,492.4,0
4974.2,50.2,1883.6,32.3,79.1,1014.4,15.0,91.7,8.8,812.0,1
2367.7,81.2,876.1,29.8,58.8,999.0,7.24,46.4,3.7,228.2,0
3872.6,52.9,1269.3,20.9,65.3,1012.0,13.62,10.4,7.3,942.2,1
5000.0,93.6,1868.8,36.7,30.5,1003.2,15.0,45.8,8.4,899.7,1
4099.4,44.0,1616.7,23.4,78.4,1010.9,15.0,37.6,9.1,473.4,1
1813.6,50.1,471.5,15.7,76.3,993.3,4.52,57.8,2.0,105.4,0
4100.3,99.0,1627.1,34.4,32.7,1013.3,14.46,43.9,9.0,810.8,1
2370.5,73.0,569.0,20.3,55.8,991.0,5.18,1.7,2.8,892.8,0
3903.5,18.8,1523.7,43.2,98.5,1001.8,15.0,99.4,7.6,257.3,1
4371.8,56.7,1343.1,43.6,59.5,988.6,12.0,54.4,7.6,924.6,1
2918.0,70.5,418.4,42.4,65.1,999.0,3.46,47.4,1.1,922.7,0
2423.5,36.5,893.0,26.1,93.7,992.7,6.95,95.5,3.0,524.2,0
3537.9,34.3,1207.6,15.5,80.2,990.7,10.68,15.6,5.4,818.2,1
2359.3,45.2,1019.4,42.8,70.7,1018.7,10.17,18.9,4.8,500.5,1
4206.1,48.4,1715.7,27.8,85.8,986.4,15.0,80.8,9.3,607.6,1
2232.2,47.5,937.5,44.0,90.5,1011.5,7.71,26.1,4.2,387.9,1
3887.6,60.6,1650.3,43.9,62.0,1019.4,14.05,79.9,9.4,243.5,1
3343.1,84.1,1069.9,40.6,63.3,980.8,10.47,27.2,5.1,771.9,1
4393.1,72.6,1825.5,23.8,57.0,1008.0,15.0,3.3,9.7,101.3,1
3885.0,29.4,1426.5,26.6,97.7,990.1,12.5,51.7,7.6,621.6,1
4784.3,38.8,1632.6,40.5,78.8,981.6,15.0,19.7,8.5,878.2,1
1765.5,71.6,466.1,24.5,35.8,996.1,3.4,75.8,1.9,299.1,0
2891.0,41.0,1150.7,20.1,90.4,1017.4,9.74,64.1,6.3,399.6,1
1687.8,54.2,532.5,31.7,63.6,980.5,4.3,92.4,2.3,628.7,0
2531.3,98.9,767.0,43.1,34.8,1003.5,7.4,78.3,3.7,322.2,0
4826.5,69.9,1484.9,35.9,68.5,1000.1,12.41,18.1,6.6,862.7,1
4769.2,69.0,1539.3,32.1,,1014.9,13.44,80.0,7.5,429.9,1
2086.8,25.1,341.4,17.9,91.4,983.4,4.56,64.2,1.4,623.5,0
3705.6,67.9,1232.4,33.5,44.3,1007.3,10.18,66.9,5.8,303.5,0
3084.9,52.3,1154.6,44.7,87.9,1007.2,10.44,83.2,6.1,137.2,1
1755.1,49.1,454.1,19.2,69.0,1006.8,3.34,57.4,1.7,256.3,0
2481.0,94.2,903.1,30.5,33.8,1017.7,9.55,46.6,5.5,141.6,1
4109.0,36.3,,41.3,98.0,1012.9,14.2,63.7,7.4,521.7,0
1944.7,57.8,317.3,37.2,65.9,981.7,3.78,29.8,1.5,628.0,0
3421.2,62.7,1468.6,35.9,50.4,998.8,13.04,18.3,7.8,140.2,1
2809.7,58.8,1086.2,36.1,62.9,995.9,9.59,61.7,6.2,181.4,1
4066.0,39.9,1691.2,25.8,90.1,992.4,13.43,23.4,8.5,537.0,1
2850.2,79.3,694.2,23.8,51.3,998.1,6.59,8.0,3.0,819.3,0
3987.0,66.4,1554.8,39.3,43.5,995.4,14.33,0.1,8.5,665.2,1
1829.5,76.1,562.5,,39.0,997.3,6.73,60.8,1.9,194.2,0
3630.0,69.8,1040.6,41.0,50.9,1019.2,8.78,36.2,4.6,898.8,1
3044.0,48.9,721.3,42.4,84.6,983.5,6.66,75.2,2.8,925.7,0
4376.2,50.5,1626.1,30.3,63.0,1016.9,15.0,37.5,8.9,392.5,1
3738.2,60.1,1323.9,30.0,45.9,999.2,12.8,48.6,7.3,654.4,1
1685.0,83.4,248.0,38.9,41.6,1004.9,2.48,,1.2,543.1,0
1892.0,52.2,295.1,34.5,53.3,1013.2,2.98,65.1,1.1,947.8,0
2368.5,46.2,951.0,36.1,95.8,994.4,7.73,35.6,3.6,557.9,1
2818.2,65.2,597.6,38.9,,997.2,4.78,96.4,2.3,964.0,0
3271.6,15.2,1201.3,41.7,99.2,996.4,12.05,93.6,6.7,279.4,1
3485.5,54.0,1135.3,25.1,64.0,995.0,10.65,84.8,7.0,411.0,1
4223.0,79.8,1463.7,26.3,42.5,1017.0,13.51,92.0,9.5,803.2,1
4083.8,30.8,1629.8,17.8,92.4,1013.2,14.8,44.9,9.6,805.2,1
4176.9,60.4,1472.7,32.3,62.2,984.4,12.65,53.6,6.9,759.0,1
2387.8,53.7,374.1,16.1,79.7,984.3,3.49,74.2,1.1,873.7,0
3364.5,28.9,994.7,29.0,98.9,997.1,8.05,69.6,4.2,732.3,1
3233.0,73.8,1052.3,31.3,33.5,983.9,10.81,89.1,5.6,672.5,1
2953.4,77.6,1219.7,23.6,36.8,1004.8,10.06,71.6,5.5,513.0,1
3136.1,59.8,1211.7,32.7,80.4,985.7,10.1,99.8,6.4,520.4,1
4232.6,87.1,1562.0,15.9,49.7,1000.9,14.17,34.9,9.6,465.5,1
3868.0,55.5,1604.7,16.1,42.9,980.3,15.0,83.3,9.0,658.2,1
2614.8,94.7,872.1,39.7,32.8,992.7,6.37,69.8,2.0,466.0,0
2899.4,87.3,1077.6,25.8,31.5,1007.1,9.39,69.1,3.4,232.7,1
4336.2,51.9,1647.7,18.8,84.2,999.4,14.09,32.6,8.5,195.9,1
4700.9,73.0,1542.3,30.7,39.4,1019.1,13.82,78.6,8.4,932.0,1
2645.8,42.1,867.3,38.1,62.7,1015.0,8.33,90.0,3.5,122.3,0
3753.1,57.9,1483.8,21.5,72.4,994.4,11.56,21.9,7.6,194.9,1
3449.7,52.6,1351.3,33.7,60.0,981.8,11.21,62.5,7.0,500.8,1
2963.3,70.6,1155.4,17.6,31.9,1013.8,10.76,39.2,5.3,336.6,0
2191.9,28.9,753.2,16.6,84.8,1016.4,6.72,99.0,2.8,465.3,0
4087.5,91.4,1602.3,30.9,30.7,1012.8,14.38,47.9,9.0,205.7,1
2881.3,44.7,1185.8,31.2,83.3,985.1,11.52,22.8,7.1,217.8,0
2420.7,43.8,609.1,34.1,92.5,1019.9,4.95,38.2,2.5,,0
4332.8,68.5,1521.4,36.8,60.3,990.3,13.91,65.4,7.3,783.2,1
4078.7,51.8,1446.2,44.3,67.5,1009.0,13.4,7.6,7.7,193.8,1
4782.8,58.6,1692.3,30.5,63.4,1016.3,14.94,60.4,9.0,701.0,1
2333.3,59.1,708.4,24.7,57.2,989.4,6.83,93.1,3.0,648.4,0
4539.3,34.2,1625.9,38.9,92.1,1016.3,15.0,85.0,9.9,742.0,1
2765.0,26.3,621.3,23.1,92.6,992.4,5.2,6.8,2.4,527.0,0
3242.7,71.1,1107.6,28.2,53.5,1019.1,10.74,99.3,6.4,343.0,1
3066.3,62.3,1174.2,17.4,73.1,991.3,12.21,69.9,6.9,697.3,1
3052.5,25.9,1196.4,15.8,94.9,1018.1,10.6,16.2,4.8,434.2,1
2556.1,44.9,1028.3,43.9,97.3,982.1,9.1,1.2,5.3,297.1,1
4483.0,58.6,1541.5,40.1,65.6,1008.4,15.0,17.1,9.0,467.8,1
